Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	1	0	0.05
3	2	0	0.075
4	2	0	0.1
5	2	0	0.125
6	2	0	0.15
7	2	0	0.175
8	2	0	0.2
9	3	0	0.225
10	3	0	0.25
11	3	0	0.275
12	3	0	0.3
13	3	0	0.325
14	3	0	0.35
15	4	0	0.375
16	4	0	0.4
17	4	0	0.425
18	4	0	0.45
19	4	0	0.475
20	5	0	0.5
21	5	0	0.525
22	5	0	0.55
23	5	0	0.575
24	5	0	0.6
25	5	0	0.625
26	6	0	0.65
27	6	0	0.675
28	6	0	0.7
29	6	0	0.725
30	6	0	0.75
31	7	0	0.775
32	7	0	0.8
33	7	0	0.825
34	7	0	0.85
35	7	0	0.875
36	8	0	0.9
37	8	0	0.925
38	8	0	0.95
39	8	0	0.975
40	8	0	1
41	9	0	1.025
42	9	0	1.05
43	9	0	1.075
44	9	0	1.1
45	9	0	1.125
46	10	0	1.15
47	10	0	1.175
48	10	0	1.2
49	10	0	1.225
50	10	0	1.25
51	11	0	1.275
52	11	0	1.3
